word;n.total;r
tuvo;3744;0.994592012230078
niños;3726;0.994572902732658
suerte;3723;0.994560163067711
tus;3715;0.994547423402764
sentía;3702;0.994534683737818
lejos;3695;0.994521944072871
detrás;3687;0.994509204407924
vino;3632;0.994496464742977
pies;3629;0.99448372507803
aquellos;3623;0.994470985413084
alma;3618;0.994458245748137
espacio;3602;0.99444550608319
haya;3600;0.994432766418243
media;3594;0.994420026753297
exclamó;3587;0.99440728708835
acuerdo;3579;0.994394547423403
daba;3566;0.994381807758456
final;3565;0.994362698261036
tenían;3565;0.994362698261036
nuestras;3560;0.994343588763616
brazo;3558;0.994330849098669
cuarto;3553;0.994318109433722
conmigo;3548;0.994305369768775
hacerlo;3535;0.994292630103828
negro;3532;0.994279890438881
orden;3525;0.994267150773935
van;3515;0.994254411108988
muerto;3512;0.994235301611568
salió;3512;0.994235301611568
especie;3494;0.994216192114147
interior;3493;0.994203452449201
causa;3486;0.994190712784254
campo;3484;0.994177973119307
alrededor;3483;0.99416523345436
fondo;3475;0.994152493789413
haciendo;3474;0.994139754124467
pudo;3473;0.99412701445952
pequeña;3472;0.994114274794573
estás;3469;0.994101535129626
conde;3455;0.994088795464679
libro;3451;0.994076055799732
oído;3429;0.994063316134786
sabes;3406;0.994050576469839
hubo;3403;0.994037836804892
clase;3399;0.994025097139945
humana;3393;0.994012357474998
naturaleza;3384;0.993999617810052
alah;3379;0.993986878145105
efecto;3378;0.993967768647684
quieres;3378;0.993967768647684
falta;3358;0.993948659150264
esposa;3350;0.993935919485317
meses;3346;0.993923179820371
sonrisa;3333;0.993910440155424
rato;3328;0.993897700490477
oro;3315;0.99388496082553
carlos;3312;0.993872221160584
papel;3306;0.993859481495637
siento;3302;0.99384674183069
entrar;3300;0.993834002165743
estamos;3295;0.993821262500796
atención;3283;0.993808522835849
doctor;3278;0.993795783170903
sola;3263;0.993783043505956
aenea;3258;0.993770303841009
coche;3229;0.993757564176062
aun;3228;0.993744824511115
pregunta;3217;0.993732084846169
ambos;3207;0.993719345181222
arriba;3204;0.993700235683801
asunto;3204;0.993700235683801
dejar;3198;0.993681126186381
pasa;3189;0.993668386521434
favor;3175;0.993655646856488
abrió;3168;0.993642907191541
ah;3166;0.993630167526594
pobre;3151;0.993611058029174
seis;3151;0.993611058029174
minutos;3149;0.993591948531754
ventana;3145;0.993579208866807
pensó;3143;0.99356646920186
difícil;3141;0.993553729536913
abajo;3132;0.993540989871966
importante;3123;0.993528250207019
pareció;3122;0.993515510542073
última;3116;0.993502770877126
jamás;3103;0.993490031212179
nave;3070;0.993477291547232
dolor;3062;0.993458182049812
padres;3062;0.993458182049812
oír;3057;0.993439072552392
partes;3056;0.993426332887445
mayoría;3037;0.993413593222498
mente;3033;0.993400853557551
pasó;3028;0.993388113892605
sitio;3026;0.993375374227658
mira;3011;0.993362634562711
información;3006;0.993349894897764
problema;3005;0.993337155232817
sala;3003;0.993324415567871
labios;2983;0.993311675902924
fuerte;2977;0.993298936237977
vivir;2975;0.99328619657303
encontrar;2973;0.993273456908083
situación;2971;0.993260717243136
viaje;2959;0.99324797757819
expresión;2951;0.993235237913243
veía;2939;0.993222498248296
universo;2933;0.993209758583349
libros;2924;0.993197018918402
mirando;2916;0.993184279253456
seguir;2907;0.993171539588509
mamá;2904;0.993158799923562
of;2902;0.993146060258615
digo;2898;0.993133320593669
color;2881;0.993120580928722
comer;2878;0.993107841263775
vuelta;2871;0.993095101598828
capaz;2870;0.993082361933881
única;2865;0.993069622268934
fuego;2863;0.993056882603988
respuesta;2852;0.993044142939041
grupo;2847;0.993031403274094
humano;2838;0.993018663609147
veo;2831;0.9930059239442
pudiera;2821;0.992993184279253
deseo;2820;0.992980444614307
vieja;2817;0.99296770494936
edad;2812;0.992954965284413
país;2802;0.992942225619466
trata;2793;0.992929485954519
